datetime,tweet_type,tweet_text,og_author_id,og_author_name,og_author_desc,og_author_username,tweet_author_id,tweet_author_name,tweet_author_desc,tweet_author_username,date,rounded_datetime,time
2022-10-16 04:39:48,replied_to,@MrsCash_Spencer @NCC20 @TimonDavis1 Omg. I hope you and Timon are doing so well. I can’t believe he is in college. Unbelievable.,822962728277069825,Timon Davis,DB@ The University of Oregon 🦆 |503🌹|,TimonDavis1,2808136894,Sam Balto,PE teacher | Bike Bus/Walking School Bus Specialist | UrbanArrow Influencer | Using Twitter to Improve Active Transportation for my Students,CoachBalto,2022-10-16,2022-10-16 04:30:00,04:38:31
2022-10-16 04:39:49,retweeted,"RT @Mohamme90939901: I work in a GP Surgery - non clinical.

Nearly all the jabbed staff have ended up getting Covid, with some getting sym…",605621942,Mohammed Khan,,Mohamme90939901,1322591836284792832,david bird,"Critical thinker,dont trust MSM,freedom",davidbi54290507,2022-10-16,2022-10-16 04:30:00,04:38:31
2022-10-16 04:39:48,replied_to,Oh god yeah this is gonna be a HUGE problem. Like I think I'm gonna have to send this back and just bite the bullet and pay full price for a bigger computer. This isn't gonna work at all. It can't hold one editor and not even 2 voicebanks it has NO storage whatsoever,3315320789,Asaf Bhai,"SURGEON- Socialist - NO TO NEOLIBERALISM, international politics, football & cricket ; rights of human. Piketty economic fan. NEVER NEUTRAL ON INJUSTICE . 🇵🇸",AsafBhai,4558591786,VY1 AND VY2 V6???????,Ambz 24 they/she ace lesbian I enjoy thing a normal amount,vy2gumis,2022-10-16,2022-10-16 04:30:00,04:38:31
2022-10-16 04:39:48,replied_to,@AsafBhai I heard he was murdered by U.S. funded Israeli terrorists.,3315320789,Asaf Bhai,"SURGEON- Socialist - NO TO NEOLIBERALISM, international politics, football & cricket ; rights of human. Piketty economic fan. NEVER NEUTRAL ON INJUSTICE . 🇵🇸",AsafBhai,2901964056,JobCentreSUCKS,"Anti-Bullshit Anti-Hypocrisy. I Never Block. #NotMyKing 
🇵🇸🏴󠁧󠁢󠁳󠁣󠁴󠁿 https://t.co/wAB7Jn1NCP",DWPscumbags,2022-10-16,2022-10-16 04:30:00,04:38:31
2022-10-16 04:39:48,retweeted,"RT @HPANA: JK Rowling is an anti-LGBTQ bigot.
JK Rowling is an anti-LGBTQ bigot.
JK Rowling is an anti-LGBTQ bigot.
JK Rowling is an anti-L…",16146445,Wizarding News™,"🏳️‍⚧️ #LGBwiththeT 🏳️‍🌈 LGBTQIA+ 🏆 Award-winning news service established in 2002 to cover Harry Potter, now reporting on the demise of JK Rowling's legacy.",HPANA,1165200964309045248,Veil Serenata,"A being of the Void bringing stuff from alternate dimensions. Call me Void/Veil/Veiled
Asexual/Aromantic/Agender also Xenogender They/Them Xey/Xem Anom/Anomaly",void_pumpkin,2022-10-16,2022-10-16 04:30:00,04:38:31
2022-10-16 04:39:48,retweeted,"RT @aicar0316: It doesn't matter how much you know if you never put that knowledge to work.

YGT POWER ANJI

#AnjiSalvacion || @anjisalvaci…",133116118,Ai💛,,aicar0316,1108932454625140736,weng💛💛💛,,Sunshine4life0,2022-10-16,2022-10-16 04:30:00,04:38:31
2022-10-16 04:39:48,replied_to,@MadPartDeux Look... I just want all the meat and a fistful of jalapenos,1335583180817117185,IC MARQUIS (Vinyl Owner),They got me again; @johncusack; I used to be a big deal.,MadPartDeux,907467735160029184,Masatake Kawamata - King of Violence,Punk Rock Ultraviolence. 4x tournament winner. DTW Original. @YamashiPro Commissioner. TMW dojo sensei. Frontman. #DirtNapLLC #RumbleRoom (RP),KingKawamata,2022-10-16,2022-10-16 04:30:00,04:38:31
2022-10-16 04:39:48,retweeted,"RT @drsyafiq118: The BIGGEST causes of stress among Malaysians: from most common to least. 

Based on my experience working in psychiatry:…",1373615788087672836,Dr. Syafiq Sallehin,"Medical Doctor. 

I write and talk about mental health, suicide, and hope. 

Subscribe to my weekly newsletter below

#HowNotToKillYourselfInYour20s",drsyafiq118,126067349,Aiman Psikologi 🇲🇾,Clinical Psychologist In Training 🤲🏻 | Aktif berkongsi ilmu psikologi manusia secara santai dan saintifik. Klik link bawah untuk belajar secara online 👇🏼,AimanPsikologi,2022-10-16,2022-10-16 04:30:00,04:38:31
2022-10-16 04:39:48,retweeted,RT @MychaelTonyx: I WAS @ WORK AND MISSED #HUMPDAY https://t.co/LyUKFhKLQE,1533940360933679104,Charles TEE Ray.,ONLY RESPONDING TO LINKS &GIGS. 3RD &LAST PAGE. #TOPSWITHASS #TOP,MychaelTonyx,1342948938521821184,TonyZ_FF,ff vrs guy 18 & older please,ZanobilonSnowd1,2022-10-16,2022-10-16 04:30:00,04:38:31
2022-10-16 04:39:47,replied_to,@michaelkohwchl Nobody provides better play-by-play coverage of UNC football games. Thanks for all your hard work. Safe travels home.,1422256272733257731,Michael Koh,Sports Writer and Reporter for @WCHLChapelboro | 🇰🇷 | ✉️: michaelkoh@wchl.com,michaelkohwchl,774238793197060096,Out Of The Blue,"“Bang bang, motherf***er” - @BradyManek",unc_ootb,2022-10-16,2022-10-16 04:30:00,04:38:31
